popularity,title,vote_average,vote_count,release_year,genero,director,Actor_principal
0.04008659743080025,Toy Story,0.77,0.3847246891651865,0.7983870967741957,2,4719,9463
0.03107927431902846,Jumanji,0.6900000000000001,0.1714387211367673,0.7983870967741957,1,4567,8231
0.021393881920011376,Grumpier Old Men,0.65,0.006536412078152753,0.7983870967741957,14,3729,9899
0.0070494566077465275,Waiting to Exhale,0.61,0.0024156305506216696,0.7983870967741957,3,2885,9936
0.015319996848590178,Father of the Bride Part II,0.5700000000000001,0.012291296625222025,0.7983870967741957,3,1465,9042
0.032740292469228265,Heat,0.77,0.13399644760213145,0.7983870967741957,0,6496,162
0.0121962004017116,Sabrina,0.6200000000000001,0.010017761989342806,0.7983870967741957,3,9040,3571
0.004678019620430317,Tom and Huck,0.54,0.0031971580817051507,0.7983870967741957,0,7420,4774
0.009555601497075286,Sudden Death,0.55,0.01236234458259325,0.7983870967741957,0,7424,4263
0.02682438337704891,GoldenEye,0.66,0.08483126110124334,0.7983870967741957,1,6161,7724
0.011540785479948286,The American President,0.65,0.014138543516873889,0.7983870967741957,3,7973,6664
0.009918624781273408,Dracula: Dead and Loving It,0.5700000000000001,0.01492007104795737,0.7983870967741957,3,6375,5749
0.022175328759264187,Balto,0.71,0.03005328596802842,0.7983870967741957,7,8714,5299
0.009300655408711585,Nixon,0.71,0.005115452930728241,0.7983870967741957,10,7062,668
0.013305265202216249,Cutthroat Island,0.5700000000000001,0.009733570159857903,0.7983870967741957,0,7781,3204
0.01851617475119076,Casino,0.78,0.09541740674955596,0.7983870967741957,6,6185,8136
0.01949478562188374,Sense and Sensibility,0.7200000000000001,0.02586145648312611,0.7983870967741957,6,596,5124
0.01648726745936769,Four Rooms,0.65,0.038294849023090584,0.7983870967741957,4,416,9391
0.014987439968990901,Ace Ventura: When Nature Calls,0.61,0.08014209591474244,0.7983870967741957,4,8894,4446
0.013402854502654596,Money Train,0.54,0.01591474245115453,0.7983870967741957,0,4954,9934
0.023141331141291355,Get Shorty,0.6400000000000001,0.0216696269982238,0.7983870967741957,3,871,4706
0.019547086283111755,Copycat,0.65,0.014138543516873889,0.7983870967741957,6,4818,8847
0.020212192736218083,Assassins,0.6000000000000001,0.027992895204262878,0.7983870967741957,0,7845,9151
0.02216137594962806,Powder,0.63,0.010159857904085258,0.7983870967741957,6,9560,6408
0.01887168189300733,Leaving Las Vegas,0.71,0.025932504440497335,0.7983870967741957,6,6641,7172
0.0033715770852877666,Othello,0.7000000000000001,0.002344582593250444,0.7983870967741957,6,7059,5609
0.015856640282017498,Now and Then,0.66,0.0064653641207815275,0.7983870967741957,3,5669,1722
0.004070286083082638,Persuasion,0.7400000000000001,0.0025577264653641207,0.7983870967741957,6,8175,395
0.017940882089867063,The City of Lost Children,0.76,0.02188277087033748,0.7983870967741957,8,4303,8298
0.002010846631830659,Shanghai Triad,0.65,0.0012078152753108348,0.7983870967741957,6,9979,3381
0.017317882472804923,Dangerous Minds,0.6400000000000001,0.017690941385435168,0.7983870967741957,6,4746,6786
0.022461311127420665,Twelve Monkeys,0.7400000000000001,0.17548845470692717,0.7983870967741957,15,9160,1323
0.001361749653323184,Wings of Courage,0.68,0.0002841918294849023,0.8064516129032278,14,4280,1941
